time: 2015-05-05 13:27:57, pleasant_state: very_pleasant, energy_state: very_energetic, stress_state: neutral
time: 2015-05-05 13:57:40, pleasant_state: very_pleasant, energy_state: very_energetic, stress_state: neutral
time: 2015-05-05 14:59:16, pleasant_state: very_pleasant, energy_state: very_energetic, stress_state: neutral
time: 2015-05-05 15:30:50, pleasant_state: slightly_pleasant, energy_state: slightly_low_energy, stress_state: feeling_good
time: 2015-05-05 16:00:56, pleasant_state: slightly_pleasant, energy_state: neutral, stress_state: neutral
time: 2015-05-05 16:36:06, pleasant_state: very_pleasant, energy_state: very_energetic, stress_state: neutral
time: 2015-05-06 12:45:44, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-05-06 13:15:28, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-05-06 13:26:34, pleasant_state: very_pleasant, energy_state: slightly_energetic, stress_state: neutral
time: 2015-05-06 13:28:22, pleasant_state: very_pleasant, energy_state: slightly_energetic, stress_state: neutral
time: 2015-05-06 13:58:32, pleasant_state: very_pleasant, energy_state: slightly_energetic, stress_state: neutral
time: 2015-05-06 15:21:30, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-05-06 15:51:31, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-05-06 16:22:35, pleasant_state: slightly_pleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-06 16:52:34, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-06 18:01:55, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-05-06 18:46:46, pleasant_state: slightly_pleasant, energy_state: slightly_energetic, stress_state: feeling_good
time: 2015-05-06 18:56:50, pleasant_state: slightly_pleasant, energy_state: neutral, stress_state: feeling_good
