2015-05-04 21:44:37.246831 |    MouseButtonHooker |          NSLeftMouseUp | y=1609.6875 x=125.64453125
2015-05-04 21:44:37.264190 |            KeyHooker |                NSKeyUp | char=  mods=[] key=49 is_repeat=False
2015-05-04 21:44:37.717332 |      MouseMoveHooker |           NSMouseMoved | y=1600.6875 x=122.64453125
2015-05-04 21:44:37.735350 |      MouseMoveHooker |           NSMouseMoved | y=1584.0078125 x=118.4765625
2015-05-04 21:44:37.749968 |      MouseMoveHooker |           NSMouseMoved | y=1574.625 x=116.390625
2015-05-04 21:44:37.766682 |      MouseMoveHooker |           NSMouseMoved | y=1568.37109375 x=116.390625
2015-05-04 21:44:37.783774 |      MouseMoveHooker |           NSMouseMoved | y=1554.81640625 x=116.390625
2015-05-04 21:44:37.801071 |      MouseMoveHooker |           NSMouseMoved | y=1546.4765625 x=126.81640625
2015-05-04 21:44:37.818231 |      MouseMoveHooker |           NSMouseMoved | y=1534.66015625 x=155.3125
2015-05-04 21:44:37.835777 |      MouseMoveHooker |           NSMouseMoved | y=1521.109375 x=197.01171875
2015-05-04 21:44:37.852661 |      MouseMoveHooker |           NSMouseMoved | y=1502.34375 x=250.1796875
2015-05-04 21:44:37.871740 |      MouseMoveHooker |           NSMouseMoved | y=1478.3671875 x=304.390625
2015-05-04 21:44:37.887470 |      MouseMoveHooker |           NSMouseMoved | y=1451.26171875 x=356.515625
2015-05-04 21:44:37.904397 |      MouseMoveHooker |           NSMouseMoved | y=1422.0703125 x=400.3046875
2015-05-04 21:44:37.921411 |      MouseMoveHooker |           NSMouseMoved | y=1394.96484375 x=434.70703125
2015-05-04 21:44:37.940006 |      MouseMoveHooker |           NSMouseMoved | y=1381.7578125 x=446.51953125
2015-05-04 21:44:37.956679 |      MouseMoveHooker |           NSMouseMoved | y=1369.25 x=454.859375
2015-05-04 21:44:37.973109 |      MouseMoveHooker |           NSMouseMoved | y=1358.82421875 x=455.90234375
2015-05-04 21:44:41.279732 |      MouseMoveHooker |           NSMouseMoved | y=1361.94921875 x=455.90234375
2015-05-04 21:44:41.297397 |      MouseMoveHooker |           NSMouseMoved | y=1366.94921875 x=456.90234375
