2015-05-01 14:15:47.950771 |      MouseMoveHooker |           NSMouseMoved | y=1664.94140625 x=958.08203125
2015-05-01 14:15:47.968722 |      MouseMoveHooker |           NSMouseMoved | y=1663.8984375 x=958.08203125
2015-05-01 14:15:47.986314 |      MouseMoveHooker |           NSMouseMoved | y=1662.85546875 x=958.08203125
2015-05-01 14:15:48.004821 |      MouseMoveHooker |           NSMouseMoved | y=1661.81640625 x=958.08203125
2015-05-01 14:15:48.423541 |      MouseMoveHooker |           NSMouseMoved | y=1660.7734375 x=958.08203125
2015-05-01 14:15:48.441128 |      MouseMoveHooker |           NSMouseMoved | y=1658.6875 x=959.125
2015-05-01 14:15:48.457639 |      MouseMoveHooker |           NSMouseMoved | y=1657.64453125 x=960.16796875
2015-05-01 14:15:48.476161 |      MouseMoveHooker |           NSMouseMoved | y=1656.6015625 x=961.2109375
2015-05-01 14:15:48.493251 |      MouseMoveHooker |           NSMouseMoved | y=1655.55859375 x=962.25390625
2015-05-01 14:15:48.510630 |      MouseMoveHooker |           NSMouseMoved | y=1655.55859375 x=963.296875
2015-05-01 14:15:48.527693 |      MouseMoveHooker |           NSMouseMoved | y=1654.515625 x=963.296875
2015-05-01 14:15:48.544917 |      MouseMoveHooker |           NSMouseMoved | y=1653.82421875 x=963.98828125
2015-05-01 14:15:48.561903 |      MouseMoveHooker |           NSMouseMoved | y=1651.73828125 x=965.03125
2015-05-01 14:15:48.579291 |      MouseMoveHooker |           NSMouseMoved | y=1648.609375 x=966.07421875
2015-05-01 14:15:48.753731 |    MouseButtonHooker |        NSLeftMouseDown | y=1648.609375 x=966.07421875
2015-05-01 14:15:48.782931 |         ScreenHooker |          NSLeftMouseUp | name=/Users/fnokeke/dev/info6010/keystroke-dynamics/data/keys_and_mouse h=835.0 y=-912.0 w=1011.0 owner=Finder x=504.0
2015-05-01 14:15:48.783011 |    MouseButtonHooker |          NSLeftMouseUp | y=1648.609375 x=966.07421875
2015-05-01 14:15:49.736013 |    MouseButtonHooker |        NSLeftMouseDown | y=1648.609375 x=966.07421875
2015-05-01 14:15:49.744704 |    MouseButtonHooker |          NSLeftMouseUp | y=1648.609375 x=966.07421875
2015-05-01 14:15:50.121419 |      MouseMoveHooker |           NSMouseMoved | y=1648.609375 x=968.07421875
2015-05-01 14:15:50.140426 |      MouseMoveHooker |           NSMouseMoved | y=1648.609375 x=979.54296875
2015-05-01 14:15:50.158002 |      MouseMoveHooker |           NSMouseMoved | y=1644.44140625 x=999.3515625
2015-05-01 14:15:50.177569 |      MouseMoveHooker |           NSMouseMoved | y=1637.140625 x=1033.75390625
2015-05-01 14:15:50.189565 |      MouseMoveHooker |           NSMouseMoved | y=1625.67578125 x=1083.79296875
2015-05-01 14:15:50.209815 |      MouseMoveHooker |           NSMouseMoved | y=1616.29296875 x=1116.11328125
2015-05-01 14:15:50.225092 |      MouseMoveHooker |           NSMouseMoved | y=1605.8671875 x=1143.9140625
2015-05-01 14:15:50.243003 |      MouseMoveHooker |           NSMouseMoved | y=1600.65234375 x=1155.3828125
2015-05-01 14:15:50.259989 |      MouseMoveHooker |           NSMouseMoved | y=1596.484375 x=1164.76171875
2015-05-01 14:15:50.276995 |      MouseMoveHooker |           NSMouseMoved | y=1592.3125 x=1167.890625
2015-05-01 14:15:50.529530 |      MouseMoveHooker |           NSMouseMoved | y=1593.35546875 x=1166.84765625
2015-05-01 14:15:50.545755 |      MouseMoveHooker |           NSMouseMoved | y=1595.44140625 x=1163.72265625
2015-05-01 14:15:50.563050 |      MouseMoveHooker |           NSMouseMoved | y=1597.52734375 x=1162.6796875
2015-05-01 14:15:50.580328 |      MouseMoveHooker |           NSMouseMoved | y=1598.5703125 x=1160.59375
2015-05-01 14:15:50.597358 |      MouseMoveHooker |           NSMouseMoved | y=1599.61328125 x=1159.55078125
2015-05-01 14:15:50.614774 |      MouseMoveHooker |           NSMouseMoved | y=1600.65234375 x=1158.5078125
2015-05-01 14:15:50.632662 |      MouseMoveHooker |           NSMouseMoved | y=1600.65234375 x=1157.46484375
2015-05-01 14:15:50.649085 |      MouseMoveHooker |           NSMouseMoved | y=1601.6953125 x=1156.421875
2015-05-01 14:15:50.666490 |      MouseMoveHooker |           NSMouseMoved | y=1603.78125 x=1155.03515625
2015-05-01 14:15:50.682849 |      MouseMoveHooker |           NSMouseMoved | y=1604.82421875 x=1153.9921875
2015-05-01 14:15:50.701193 |      MouseMoveHooker |           NSMouseMoved | y=1606.91015625 x=1151.90625
2015-05-01 14:15:50.717589 |      MouseMoveHooker |           NSMouseMoved | y=1608.9921875 x=1150.86328125
2015-05-01 14:15:50.736556 |      MouseMoveHooker |           NSMouseMoved | y=1610.03515625 x=1150.86328125
2015-05-01 14:15:50.753341 |      MouseMoveHooker |           NSMouseMoved | y=1611.078125 x=1149.8203125
2015-05-01 14:15:50.915694 |    MouseButtonHooker |        NSLeftMouseDown | y=1611.078125 x=1149.8203125
2015-05-01 14:15:50.920803 |    MouseButtonHooker |          NSLeftMouseUp | y=1611.078125 x=1149.8203125
2015-05-01 14:15:51.232345 |            KeyHooker |              NSKeyDown | char=  mods=[] key=49 is_repeat=False
2015-05-01 14:15:51.357748 |            KeyHooker |                NSKeyUp | char=  mods=[] key=49 is_repeat=False
2015-05-01 14:15:52.047795 |            KeyHooker |              NSKeyDown | char=  mods=[] key=49 is_repeat=False
2015-05-01 14:15:52.189821 |            KeyHooker |                NSKeyUp | char=  mods=[] key=49 is_repeat=False
2015-05-01 14:15:52.913377 |    MouseButtonHooker |        NSLeftMouseDown | y=1611.078125 x=1149.8203125
2015-05-01 14:15:52.923391 |    MouseButtonHooker |          NSLeftMouseUp | y=1611.078125 x=1149.8203125
2015-05-01 14:15:53.061130 |    MouseButtonHooker |        NSLeftMouseDown | y=1611.078125 x=1149.8203125
2015-05-01 14:15:53.067112 |    MouseButtonHooker |          NSLeftMouseUp | y=1611.078125 x=1149.8203125
2015-05-01 14:15:53.820178 |         ScreenHooker |           NSMouseMoved | name=1430503497.txt h=412.0 y=-1024.0 w=640.0 owner=TextEdit x=-431.0
2015-05-01 14:15:53.820239 |      MouseMoveHooker |           NSMouseMoved | y=1608.9921875 x=1165.16015625
2015-05-01 14:15:53.831619 |      MouseMoveHooker |           NSMouseMoved | y=1608.9921875 x=1165.16015625
2015-05-01 14:15:53.849087 |      MouseMoveHooker |           NSMouseMoved | y=1605.8671875 x=1171.41796875
2015-05-01 14:15:53.866070 |      MouseMoveHooker |           NSMouseMoved | y=1603.78125 x=1175.5859375
2015-05-01 14:15:53.883368 |      MouseMoveHooker |           NSMouseMoved | y=1601.6953125 x=1177.671875
2015-05-01 14:15:53.901529 |      MouseMoveHooker |           NSMouseMoved | y=1600.65234375 x=1177.671875
2015-05-01 14:15:53.916141 |      MouseMoveHooker |           NSMouseMoved | y=1599.609375 x=1178.71484375
2015-05-01 14:15:53.935679 |      MouseMoveHooker |           NSMouseMoved | y=1598.5703125 x=1179.7578125
2015-05-01 14:15:53.950646 |      MouseMoveHooker |           NSMouseMoved | y=1597.1796875 x=1174.1953125
2015-05-01 14:15:53.968199 |      MouseMoveHooker |           NSMouseMoved | y=1593.0078125 x=1146.046875
2015-05-01 14:15:53.984721 |      MouseMoveHooker |           NSMouseMoved | y=1586.75390625 x=1065.7734375
2015-05-01 14:15:54.004237 |      MouseMoveHooker |           NSMouseMoved | y=1583.625 x=966.734375
2015-05-01 14:15:54.019554 |      MouseMoveHooker |           NSMouseMoved | y=1583.625 x=858.3125
2015-05-01 14:15:54.039185 |      MouseMoveHooker |           NSMouseMoved | y=1585.7109375 x=792.6328125
2015-05-01 14:15:54.056604 |      MouseMoveHooker |           NSMouseMoved | y=1589.1875 x=755.796875
2015-05-01 14:15:54.072884 |      MouseMoveHooker |           NSMouseMoved | y=1591.26953125 x=735.9921875
2015-05-01 14:15:54.089465 |      MouseMoveHooker |           NSMouseMoved | y=1592.3125 x=722.4375
2015-05-01 14:15:54.107547 |      MouseMoveHooker |           NSMouseMoved | y=1592.3125 x=718.26953125
2015-05-01 14:15:54.124523 |      MouseMoveHooker |           NSMouseMoved | y=1592.3125 x=717.26953125
2015-05-01 14:15:54.320866 |      MouseMoveHooker |           NSMouseMoved | y=1592.3125 x=713.09765625
2015-05-01 14:15:54.338363 |      MouseMoveHooker |           NSMouseMoved | y=1595.44140625 x=690.1640625
2015-05-01 14:15:54.354896 |      MouseMoveHooker |           NSMouseMoved | y=1605.8671875 x=614.05859375
