Hooker 2015-05-02 16:52:17.658437 |      MouseMoveHooker |           NSMouseMoved | y=368.31640625 x=601.62890625
Hooker 2015-05-02 16:52:17.676951 |      MouseMoveHooker |           NSMouseMoved | y=357.89453125 x=602.671875
Hooker 2015-05-02 16:52:17.694195 |      MouseMoveHooker |           NSMouseMoved | y=350.59765625 x=602.671875
Hooker 2015-05-02 16:52:17.711981 |      MouseMoveHooker |           NSMouseMoved | y=342.26171875 x=603.7109375
Hooker 2015-05-02 16:52:17.728025 |      MouseMoveHooker |           NSMouseMoved | y=336.0078125 x=603.7109375
Hooker 2015-05-02 16:52:17.745022 |      MouseMoveHooker |           NSMouseMoved | y=331.83984375 x=603.7109375
Hooker 2015-05-02 16:52:17.762256 |      MouseMoveHooker |           NSMouseMoved | y=327.671875 x=603.7109375
Hooker 2015-05-02 16:52:17.779153 |      MouseMoveHooker |           NSMouseMoved | y=324.546875 x=603.7109375
Hooker 2015-05-02 16:52:17.797320 |      MouseMoveHooker |           NSMouseMoved | y=321.41796875 x=603.7109375
Hooker 2015-05-02 16:52:17.814333 |      MouseMoveHooker |           NSMouseMoved | y=318.29296875 x=603.7109375
Hooker 2015-05-02 16:52:17.830065 |      MouseMoveHooker |           NSMouseMoved | y=316.20703125 x=603.7109375
Hooker 2015-05-02 16:52:17.848808 |      MouseMoveHooker |           NSMouseMoved | y=313.08203125 x=603.7109375
Hooker 2015-05-02 16:52:17.866560 |      MouseMoveHooker |           NSMouseMoved | y=310.99609375 x=603.7109375
Hooker 2015-05-02 16:52:17.883218 |      MouseMoveHooker |           NSMouseMoved | y=308.21875 x=603.7109375
Hooker 2015-05-02 16:52:17.899899 |      MouseMoveHooker |           NSMouseMoved | y=307.17578125 x=603.7109375
Hooker 2015-05-02 16:52:17.917964 |      MouseMoveHooker |           NSMouseMoved | y=305.08984375 x=603.7109375
Hooker 2015-05-02 16:52:17.935626 |      MouseMoveHooker |           NSMouseMoved | y=303.0078125 x=603.7109375
Hooker 2015-05-02 16:52:17.951138 |      MouseMoveHooker |           NSMouseMoved | y=300.2265625 x=603.7109375
Hooker 2015-05-02 16:52:17.966121 |      MouseMoveHooker |           NSMouseMoved | y=298.14453125 x=603.7109375
Hooker 2015-05-02 16:52:17.984319 |      MouseMoveHooker |           NSMouseMoved | y=296.05859375 x=603.7109375
Hooker 2015-05-02 16:52:18.002910 |      MouseMoveHooker |           NSMouseMoved | y=293.9765625 x=603.7109375
Hooker 2015-05-02 16:52:18.019979 |      MouseMoveHooker |           NSMouseMoved | y=291.890625 x=604.75390625
Hooker 2015-05-02 16:52:18.037604 |      MouseMoveHooker |           NSMouseMoved | y=289.80859375 x=604.75390625
Hooker 2015-05-02 16:52:18.055523 |      MouseMoveHooker |           NSMouseMoved | y=287.72265625 x=605.44921875
Hooker 2015-05-02 16:52:18.072209 |      MouseMoveHooker |           NSMouseMoved | y=284.59765625 x=605.44921875
Hooker 2015-05-02 16:52:18.089173 |      MouseMoveHooker |           NSMouseMoved | y=282.51171875 x=606.4921875
Hooker 2015-05-02 16:52:18.294012 |    MouseButtonHooker |        NSLeftMouseDown | y=282.51171875 x=606.4921875
Hooker 2015-05-02 16:52:18.315822 |    MouseButtonHooker |          NSLeftMouseUp | y=282.51171875 x=606.4921875
Hooker 2015-05-02 16:52:18.627784 |      MouseMoveHooker |           NSMouseMoved | y=281.81640625 x=606.4921875
Hooker 2015-05-02 16:52:18.645811 |      MouseMoveHooker |           NSMouseMoved | y=279.734375 x=606.4921875
Hooker 2015-05-02 16:52:18.662458 |      MouseMoveHooker |           NSMouseMoved | y=276.60546875 x=609.6171875
Hooker 2015-05-02 16:52:18.680445 |      MouseMoveHooker |           NSMouseMoved | y=274.5234375 x=614.828125
Hooker 2015-05-02 16:52:18.697352 |      MouseMoveHooker |           NSMouseMoved | y=268.26953125 x=627.3359375
Hooker 2015-05-02 16:52:18.714490 |      MouseMoveHooker |           NSMouseMoved | y=258.54296875 x=648.1796875
Hooker 2015-05-02 16:52:18.731376 |      MouseMoveHooker |           NSMouseMoved | y=241.8671875 x=675.2734375
Hooker 2015-05-02 16:52:18.748946 |      MouseMoveHooker |           NSMouseMoved | y=219.98046875 x=703.4140625
Hooker 2015-05-02 16:52:18.767121 |      MouseMoveHooker |           NSMouseMoved | y=205.390625 x=722.171875
Hooker 2015-05-02 16:52:18.783511 |      MouseMoveHooker |           NSMouseMoved | y=191.84375 x=734.67578125
Hooker 2015-05-02 16:52:18.799889 |      MouseMoveHooker |           NSMouseMoved | y=182.1171875 x=741.625
Hooker 2015-05-02 16:52:18.818033 |      MouseMoveHooker |           NSMouseMoved | y=175.1171875 x=745.625
Hooker 2015-05-02 16:52:19.065925 |      MouseMoveHooker |           NSMouseMoved | y=175.1171875 x=742.5
Hooker 2015-05-02 16:52:19.082491 |      MouseMoveHooker |           NSMouseMoved | y=176.16015625 x=731.03515625
Hooker 2015-05-02 16:52:19.098330 |      MouseMoveHooker |           NSMouseMoved | y=180.328125 x=721.65625
Hooker 2015-05-02 16:52:19.116549 |      MouseMoveHooker |           NSMouseMoved | y=185.5390625 x=711.234375
Hooker 2015-05-02 16:52:19.138819 |      MouseMoveHooker |           NSMouseMoved | y=187.62109375 x=706.0234375
Hooker 2015-05-02 16:52:19.149770 |      MouseMoveHooker |           NSMouseMoved | y=190.75 x=700.8125
Hooker 2015-05-02 16:52:19.167371 |      MouseMoveHooker |           NSMouseMoved | y=191.4453125 x=700.1171875
Hooker 2015-05-02 16:52:19.332981 |    MouseButtonHooker |        NSLeftMouseDown | y=191.4453125 x=700.1171875
Hooker 2015-05-02 16:52:19.343086 |    MouseButtonHooker |          NSLeftMouseUp | y=191.4453125 x=700.1171875
Hooker 2015-05-02 16:52:19.751426 |      MouseMoveHooker |           NSMouseMoved | y=194.4453125 x=700.1171875
Hooker 2015-05-02 16:52:19.767476 |      MouseMoveHooker |           NSMouseMoved | y=202.78125 x=701.16015625
Hooker 2015-05-02 16:52:19.785787 |      MouseMoveHooker |           NSMouseMoved | y=227.79296875 x=709.49609375
